Batch	scan004
EV300 164202	100%T Baseline Correction
10^-6 Cycle01	2025/10/23 05:56:08¤U¤È
nm	A
300.00	-0.026
301.00	-0.015
302.00	-0.019
303.00	-0.005
304.00	-0.015
305.00	-0.011
306.00	-0.007
307.00	-0.014
308.00	-0.020
309.00	-0.018
310.00	-0.022
311.00	-0.019
312.00	-0.021
313.00	-0.023
314.00	-0.020
315.00	-0.014
316.00	-0.009
317.00	-0.018
318.00	-0.022
319.00	-0.016
320.00	-0.021
321.00	-0.016
322.00	-0.019
323.00	-0.011
324.00	-0.023
325.00	-0.023
326.00	-0.016
327.00	-0.020
328.00	-0.006
329.00	-0.020
330.00	-0.016
331.00	-0.011
332.00	-0.018
333.00	-0.015
334.00	-0.020
335.00	-0.012
336.00	-0.014
337.00	-0.017
338.00	-0.014
339.00	-0.019
340.00	-0.008
341.00	-0.012
342.00	-0.014
343.00	-0.014
344.00	-0.009
345.00	-0.018
346.00	-0.023
347.00	-0.002
348.00	-0.008
349.00	-0.010
350.00	-0.010
351.00	-0.017
352.00	-0.009
353.00	-0.022
354.00	-0.006
355.00	-0.010
356.00	-0.016
357.00	-0.012
358.00	-0.010
359.00	-0.017
360.00	-0.016
361.00	-0.017
362.00	-0.029
363.00	-0.028
364.00	-0.005
365.00	-0.015
366.00	-0.020
367.00	-0.018
368.00	-0.014
369.00	-0.003
370.00	-0.017
371.00	-0.015
372.00	-0.019
373.00	-0.004
374.00	-0.012
375.00	-0.006
376.00	0.000
377.00	-0.015
378.00	-0.010
379.00	-0.013
380.00	-0.003
381.00	-0.005
382.00	-0.010
383.00	-0.013
384.00	-0.015
385.00	-0.014
386.00	-0.005
387.00	-0.004
388.00	-0.013
389.00	-0.010
390.00	-0.011
391.00	-0.001
392.00	-0.005
393.00	-0.006
394.00	-0.006
395.00	-0.002
396.00	-0.010
397.00	-0.008
398.00	-0.005
399.00	-0.007
400.00	-0.013
401.00	-0.004
402.00	-0.005
403.00	-0.005
404.00	-0.009
405.00	-0.005
406.00	-0.004
407.00	-0.008
408.00	-0.008
409.00	-0.007
410.00	-0.003
411.00	-0.025
412.00	-0.008
413.00	-0.009
414.00	-0.012
415.00	-0.014
416.00	-0.004
417.00	-0.007
418.00	-0.012
419.00	-0.001
420.00	-0.015
421.00	-0.003
422.00	-0.015
423.00	-0.016
424.00	-0.025
425.00	-0.013
426.00	-0.010
427.00	-0.010
428.00	-0.009
429.00	-0.009
430.00	-0.005
431.00	-0.002
432.00	-0.013
433.00	-0.014
434.00	-0.013
435.00	-0.010
436.00	-0.013
437.00	-0.015
438.00	-0.004
439.00	-0.018
440.00	-0.015
441.00	-0.012
442.00	-0.006
443.00	-0.010
444.00	-0.009
445.00	-0.014
446.00	-0.014
447.00	-0.011
448.00	-0.004
449.00	-0.012
450.00	-0.006
451.00	-0.011
452.00	-0.016
453.00	-0.014
454.00	-0.009
455.00	-0.010
456.00	-0.007
457.00	-0.012
458.00	-0.010
459.00	-0.015
460.00	-0.004
461.00	-0.010
462.00	-0.015
463.00	-0.017
464.00	-0.009
465.00	-0.016
466.00	-0.007
467.00	-0.018
468.00	-0.004
469.00	-0.017
470.00	-0.011
471.00	-0.016
472.00	-0.014
473.00	-0.015
474.00	-0.018
475.00	-0.006
476.00	-0.014
477.00	-0.015
478.00	-0.013
479.00	-0.016
480.00	-0.009
481.00	-0.013
482.00	-0.014
483.00	-0.016
484.00	-0.014
485.00	-0.010
486.00	-0.014
487.00	-0.008
488.00	-0.018
489.00	-0.013
490.00	-0.020
491.00	-0.012
492.00	-0.010
493.00	-0.014
494.00	-0.010
495.00	-0.015
496.00	-0.014
497.00	-0.013
498.00	-0.014
499.00	-0.014
500.00	-0.013
501.00	-0.011
502.00	-0.014
503.00	-0.013
504.00	-0.014
505.00	-0.015
506.00	-0.010
507.00	-0.015
508.00	-0.011
509.00	-0.012
510.00	-0.015
511.00	-0.019
512.00	-0.013
513.00	-0.010
514.00	-0.017
515.00	-0.015
516.00	-0.015
517.00	-0.013
518.00	-0.016
519.00	-0.010
520.00	-0.010
521.00	-0.013
522.00	-0.012
523.00	-0.014
524.00	-0.015
525.00	-0.018
526.00	-0.016
527.00	-0.014
528.00	-0.012
529.00	-0.016
530.00	-0.014
531.00	-0.013
532.00	-0.018
533.00	-0.013
534.00	-0.018
535.00	-0.015
536.00	-0.011
537.00	-0.020
538.00	-0.017
539.00	-0.019
540.00	-0.014
541.00	-0.015
542.00	-0.018
543.00	-0.012
544.00	-0.018
545.00	-0.016
546.00	-0.013
547.00	-0.018
548.00	-0.012
549.00	-0.013
550.00	-0.015
551.00	-0.015
552.00	-0.013
553.00	-0.013
554.00	-0.011
555.00	-0.016
556.00	-0.016
557.00	-0.016
558.00	-0.012
559.00	-0.010
560.00	-0.014
561.00	-0.011
562.00	-0.013
563.00	-0.015
564.00	-0.012
565.00	-0.014
566.00	-0.009
567.00	-0.010
568.00	-0.010
569.00	-0.014
570.00	-0.012
571.00	-0.014
572.00	-0.012
573.00	-0.014
574.00	-0.010
575.00	-0.005
576.00	-0.012
577.00	-0.008
578.00	-0.007
579.00	-0.007
580.00	-0.009
581.00	-0.008
582.00	-0.006
583.00	-0.006
584.00	-0.005
585.00	-0.005
586.00	-0.003
587.00	0.000
588.00	-0.005
589.00	-0.005
590.00	-0.004
591.00	-0.004
592.00	0.002
593.00	0.001
594.00	0.001
595.00	0.003
596.00	0.005
597.00	0.004
598.00	0.007
599.00	0.007
600.00	0.004
601.00	0.005
602.00	0.006
603.00	0.009
604.00	0.009
605.00	0.008
606.00	0.008
607.00	0.007
608.00	0.008
609.00	0.010
610.00	0.007
611.00	0.009
612.00	0.011
613.00	0.012
614.00	0.011
615.00	0.009
616.00	0.013
617.00	0.013
618.00	0.015
619.00	0.013
620.00	0.013
621.00	0.013
622.00	0.014
623.00	0.016
624.00	0.015
625.00	0.017
626.00	0.015
627.00	0.013
628.00	0.017
629.00	0.018
630.00	0.017
631.00	0.018
632.00	0.019
633.00	0.016
634.00	0.020
635.00	0.020
636.00	0.021
637.00	0.022
638.00	0.022
639.00	0.024
640.00	0.025
641.00	0.027
642.00	0.030
643.00	0.029
644.00	0.029
645.00	0.031
646.00	0.032
647.00	0.032
648.00	0.034
649.00	0.034
650.00	0.034
651.00	0.037
652.00	0.039
653.00	0.038
654.00	0.038
655.00	0.039
656.00	0.043
657.00	0.042
658.00	0.044
659.00	0.041
660.00	0.045
661.00	0.046
662.00	0.046
663.00	0.044
664.00	0.047
665.00	0.047
666.00	0.046
667.00	0.046
668.00	0.044
669.00	0.047
670.00	0.042
671.00	0.042
672.00	0.040
673.00	0.038
674.00	0.036
675.00	0.034
676.00	0.031
677.00	0.029
678.00	0.027
679.00	0.024
680.00	0.021
681.00	0.021
682.00	0.017
683.00	0.013
684.00	0.012
685.00	0.010
686.00	0.006
687.00	0.005
688.00	0.005
689.00	0.004
690.00	0.002
691.00	-0.001
692.00	-0.002
693.00	-0.006
694.00	-0.004
695.00	-0.005
696.00	-0.007
697.00	-0.008
698.00	-0.007
699.00	-0.009
700.00	-0.012
701.00	-0.009
702.00	-0.013
703.00	-0.012
704.00	-0.012
705.00	-0.013
706.00	-0.012
707.00	-0.012
708.00	-0.015
709.00	-0.014
710.00	-0.013
711.00	-0.014
712.00	-0.011
713.00	-0.015
714.00	-0.015
715.00	-0.013
716.00	-0.014
717.00	-0.011
718.00	-0.015
719.00	-0.014
720.00	-0.013
721.00	-0.013
722.00	-0.014
723.00	-0.013
724.00	-0.013
725.00	-0.013
