nm,A
300.00,0.088
301.00,0.085
302.00,0.072
303.00,0.074
304.00,0.060
305.00,0.065
306.00,0.057
307.00,0.051
308.00,0.050
309.00,0.026
310.00,0.035
311.00,0.031
312.00,0.022
313.00,0.022
314.00,0.021
315.00,0.031
316.00,0.035
317.00,0.024
318.00,0.027
319.00,0.026
320.00,0.017
321.00,0.018
322.00,0.018
323.00,0.018
324.00,0.011
325.00,0.007
326.00,0.002
327.00,-0.005
328.00,0.011
329.00,-0.001
330.00,0.001
331.00,0.000
332.00,-0.007
333.00,0.002
334.00,-0.012
335.00,-0.015
336.00,-0.014
337.00,-0.014
338.00,-0.018
339.00,-0.020
340.00,-0.014
341.00,-0.020
342.00,-0.014
343.00,-0.022
344.00,-0.011
345.00,-0.028
346.00,-0.023
347.00,-0.014
348.00,-0.020
349.00,-0.016
350.00,-0.015
351.00,-0.016
352.00,-0.020
353.00,-0.027
354.00,-0.015
355.00,-0.017
356.00,-0.016
357.00,-0.016
358.00,-0.017
359.00,-0.023
360.00,-0.026
361.00,-0.034
362.00,-0.029
363.00,-0.019
364.00,-0.022
365.00,-0.023
366.00,-0.014
367.00,-0.016
368.00,-0.019
369.00,-0.012
370.00,-0.020
371.00,-0.015
372.00,-0.014
373.00,-0.008
374.00,-0.013
375.00,-0.017
376.00,-0.010
377.00,-0.012
378.00,-0.019
379.00,-0.011
380.00,-0.006
381.00,-0.010
382.00,-0.012
383.00,-0.018
384.00,-0.008
385.00,-0.016
386.00,-0.013
387.00,-0.019
388.00,-0.014
389.00,-0.013
390.00,-0.016
391.00,-0.009
392.00,-0.009
393.00,-0.016
394.00,-0.008
395.00,-0.008
396.00,-0.012
397.00,-0.005
398.00,-0.012
399.00,-0.015
400.00,-0.005
401.00,-0.004
402.00,-0.012
403.00,-0.012
404.00,-0.014
405.00,-0.010
406.00,-0.016
407.00,-0.008
408.00,-0.012
409.00,-0.018
410.00,-0.012
411.00,-0.021
412.00,-0.013
413.00,-0.014
414.00,-0.012
415.00,-0.016
416.00,-0.010
417.00,-0.009
418.00,-0.009
419.00,-0.012
420.00,-0.020
421.00,-0.010
422.00,-0.012
