nm,A
300.00,0.037
301.00,0.040
302.00,0.041
303.00,0.040
304.00,0.044
305.00,0.042
306.00,0.040
307.00,0.042
308.00,0.040
309.00,0.012
310.00,0.041
311.00,0.030
312.00,0.030
313.00,0.021
314.00,0.026
315.00,0.024
316.00,0.035
317.00,0.028
318.00,0.026
319.00,0.029
320.00,0.028
321.00,0.026
322.00,0.018
323.00,0.028
324.00,0.025
325.00,0.029
326.00,0.026
327.00,0.021
328.00,0.035
329.00,0.020
330.00,0.018
331.00,0.020
332.00,0.020
333.00,0.023
334.00,0.016
335.00,0.012
336.00,0.019
337.00,0.019
338.00,0.012
339.00,0.016
340.00,0.012
341.00,0.021
342.00,0.017
343.00,0.011
344.00,0.013
345.00,0.004
346.00,0.011
347.00,0.022
348.00,0.013
349.00,0.007
350.00,0.018
351.00,0.017
352.00,0.013
353.00,0.008
354.00,0.021
355.00,0.016
356.00,0.008
357.00,0.012
358.00,0.014
359.00,0.007
360.00,0.000
361.00,-0.003
362.00,-0.001
363.00,0.000
364.00,0.010
365.00,-0.005
366.00,0.009
367.00,0.009
368.00,0.003
369.00,0.012
370.00,0.009
371.00,-0.004
372.00,0.015
373.00,0.010
374.00,0.010
375.00,0.003
376.00,0.014
377.00,0.005
378.00,0.002
379.00,0.005
380.00,0.014
381.00,0.009
382.00,0.007
383.00,0.002
384.00,-0.003
385.00,-0.004
386.00,0.008
387.00,0.003
388.00,0.003
389.00,0.004
390.00,0.008
391.00,0.005
392.00,0.002
393.00,0.002
394.00,0.003
395.00,0.001
396.00,0.001
397.00,0.005
398.00,0.003
399.00,-0.001
400.00,0.008
401.00,0.008
402.00,-0.001
403.00,-0.003
404.00,-0.008
405.00,0.005
406.00,0.006
407.00,-0.004
408.00,0.004
409.00,-0.003
410.00,0.006
411.00,-0.009
412.00,-0.006
413.00,-0.006
414.00,-0.002
415.00,-0.002
416.00,0.005
417.00,-0.003
418.00,0.004
419.00,0.001
420.00,-0.003
421.00,-0.003
422.00,-0.011
423.00,-0.009
424.00,-0.002
425.00,-0.005
426.00,0.001
427.00,-0.007
428.00,-0.003
429.00,-0.003
430.00,0.003
431.00,0.001
432.00,-0.009
433.00,-0.011
434.00,-0.008
435.00,-0.004
436.00,-0.002
437.00,-0.007
438.00,-0.004
439.00,-0.001
440.00,-0.002
441.00,0.005
442.00,0.003
443.00,-0.002
444.00,0.007
445.00,-0.008
446.00,-0.008
447.00,-0.002
448.00,0.002
449.00,0.005
450.00,-0.002
451.00,-0.003
452.00,-0.011
453.00,-0.004
454.00,-0.010
455.00,-0.004
456.00,-0.002
457.00,-0.011
458.00,0.001
459.00,-0.001
460.00,-0.007
461.00,-0.003
462.00,-0.002
463.00,-0.011
464.00,-0.011
465.00,0.000
466.00,-0.001
467.00,-0.004
468.00,-0.003
469.00,-0.004
470.00,-0.002
471.00,-0.008
472.00,-0.004
473.00,-0.001
474.00,-0.007
475.00,0.003
476.00,-0.009
477.00,-0.004
478.00,-0.008
479.00,-0.003
480.00,-0.003
481.00,-0.013
482.00,-0.009
483.00,-0.003
484.00,-0.008
485.00,-0.004
486.00,-0.009
487.00,-0.001
488.00,-0.010
489.00,-0.006
490.00,-0.004
491.00,-0.001
492.00,-0.006
493.00,-0.009
494.00,-0.002
495.00,-0.003
496.00,-0.006
497.00,-0.010
498.00,-0.001
499.00,-0.004
500.00,0.000
501.00,-0.001
502.00,-0.005
503.00,-0.004
504.00,-0.002
505.00,-0.007
506.00,-0.003
507.00,-0.003
508.00,-0.001
509.00,-0.003
510.00,-0.002
511.00,-0.004
512.00,0.000
513.00,-0.001
514.00,-0.003
515.00,-0.002
516.00,-0.009
517.00,-0.002
518.00,-0.003
519.00,-0.002
520.00,-0.008
521.00,-0.008
522.00,-0.006
523.00,-0.005
524.00,-0.003
525.00,-0.008
526.00,-0.006
527.00,-0.008
528.00,-0.003
529.00,-0.002
530.00,-0.014
531.00,-0.004
532.00,-0.008
533.00,-0.007
534.00,-0.016
535.00,-0.010
536.00,-0.006
537.00,-0.008
538.00,-0.007
539.00,-0.008
540.00,-0.007
541.00,-0.010
542.00,-0.009
543.00,-0.006
544.00,-0.007
545.00,-0.008
546.00,-0.006
547.00,-0.011
548.00,-0.003
549.00,-0.007
550.00,-0.006
551.00,-0.003
552.00,-0.002
553.00,-0.007
554.00,-0.004
555.00,-0.006
556.00,-0.007
557.00,-0.010
558.00,-0.007
559.00,-0.005
560.00,-0.003
561.00,-0.002
562.00,-0.003
563.00,-0.007
564.00,-0.002
565.00,-0.007
566.00,-0.005
567.00,-0.007
568.00,-0.003
569.00,-0.006
570.00,-0.006
571.00,-0.003
572.00,-0.002
573.00,-0.006
574.00,0.000
575.00,-0.002
576.00,0.000
577.00,-0.004
578.00,-0.003
579.00,0.001
580.00,-0.001
581.00,0.002
582.00,0.000
583.00,0.002
584.00,0.002
585.00,0.005
586.00,0.002
587.00,0.003
588.00,0.004
589.00,0.002
590.00,0.004
591.00,0.004
592.00,0.009
593.00,0.007
594.00,0.007
595.00,0.010
596.00,0.004
597.00,0.009
598.00,0.010
599.00,0.009
600.00,0.007
601.00,0.009
602.00,0.012
603.00,0.012
604.00,0.008
605.00,0.005
606.00,0.010
607.00,0.010
608.00,0.011
609.00,0.013
610.00,0.012
611.00,0.011
612.00,0.010
613.00,0.013
614.00,0.014
615.00,0.011
616.00,0.016
617.00,0.015
618.00,0.018
619.00,0.014
620.00,0.014
621.00,0.014
622.00,0.016
623.00,0.017
624.00,0.016
625.00,0.016
626.00,0.016
627.00,0.015
628.00,0.017
629.00,0.020
630.00,0.019
631.00,0.020
632.00,0.019
633.00,0.016
634.00,0.018
635.00,0.022
636.00,0.022
637.00,0.020
638.00,0.021
639.00,0.023
640.00,0.022
641.00,0.027
642.00,0.028
643.00,0.024
644.00,0.026
645.00,0.028
646.00,0.025
647.00,0.026
648.00,0.027
649.00,0.027
650.00,0.029
651.00,0.030
652.00,0.029
653.00,0.032
654.00,0.027
655.00,0.025
656.00,0.027
657.00,0.029
658.00,0.032
659.00,0.030
660.00,0.030
661.00,0.031
662.00,0.030
663.00,0.029
664.00,0.031
665.00,0.031
666.00,0.029
667.00,0.029
668.00,0.028
669.00,0.031
670.00,0.026
671.00,0.024
672.00,0.025
673.00,0.025
674.00,0.025
675.00,0.021
676.00,0.020
677.00,0.015
678.00,0.017
679.00,0.014
680.00,0.012
681.00,0.012
682.00,0.011
683.00,0.009
684.00,0.007
685.00,0.009
686.00,0.005
687.00,0.005
688.00,0.003
689.00,0.001
690.00,0.002
691.00,-0.001
692.00,-0.002
693.00,-0.005
694.00,-0.005
695.00,-0.004
696.00,-0.006
697.00,-0.006
698.00,-0.008
699.00,-0.006
700.00,-0.009
701.00,-0.009
702.00,-0.009
703.00,-0.011
704.00,-0.008
705.00,-0.010
706.00,-0.011
707.00,-0.010
708.00,-0.011
709.00,-0.011
710.00,-0.010
711.00,-0.009
712.00,-0.009
713.00,-0.010
714.00,-0.012
715.00,-0.011
716.00,-0.012
717.00,-0.011
718.00,-0.012
719.00,-0.012
720.00,-0.012
721.00,-0.012
722.00,-0.013
723.00,-0.012
724.00,-0.011
725.00,-0.011
726.00,-0.011
727.00,-0.012
728.00,-0.010
729.00,-0.010
730.00,-0.010
731.00,-0.009
732.00,-0.008
733.00,-0.011
734.00,-0.009
735.00,-0.010
736.00,-0.010
737.00,-0.010
738.00,-0.010
739.00,-0.011
740.00,-0.009
741.00,-0.010
742.00,-0.010
743.00,-0.007
744.00,-0.010
745.00,-0.009
746.00,-0.011
747.00,-0.010
748.00,-0.008
749.00,-0.007
750.00,-0.007
751.00,-0.008
752.00,-0.010
753.00,-0.005
754.00,-0.008
755.00,-0.009
756.00,-0.007
757.00,-0.008
758.00,-0.007
759.00,-0.006
760.00,-0.005
761.00,-0.007
762.00,-0.007
763.00,-0.006
764.00,-0.008
765.00,-0.006
766.00,-0.005
767.00,-0.006
768.00,-0.007
769.00,-0.007
770.00,-0.006
771.00,-0.007
772.00,-0.009
773.00,-0.007
774.00,-0.008
775.00,-0.006
