Batch	scan010
EV300 164202	100%T Baseline Correction
90-1 Cycle01	2025/10/23 06:17:26¤U¤È
nm	A
300.00	0.026
301.00	0.034
302.00	0.019
303.00	0.029
304.00	0.025
305.00	0.030
306.00	0.035
307.00	0.031
308.00	0.019
309.00	0.012
310.00	0.020
311.00	0.014
312.00	0.006
313.00	0.014
314.00	0.015
315.00	0.017
316.00	0.023
317.00	0.022
318.00	0.011
319.00	0.019
320.00	0.020
321.00	0.012
322.00	0.019
323.00	0.010
324.00	0.015
325.00	0.016
326.00	0.005
327.00	0.010
328.00	0.025
329.00	0.012
330.00	0.020
331.00	0.018
332.00	0.012
333.00	0.021
334.00	0.006
335.00	0.008
336.00	0.005
337.00	0.006
338.00	0.000
339.00	0.004
340.00	0.011
341.00	0.017
342.00	0.024
343.00	0.002
344.00	0.009
345.00	0.000
346.00	0.003
347.00	0.013
348.00	0.006
349.00	0.003
350.00	0.004
351.00	0.008
352.00	-0.003
353.00	-0.013
354.00	0.006
355.00	-0.001
356.00	-0.002
357.00	0.005
358.00	-0.002
359.00	-0.006
360.00	-0.006
361.00	-0.019
362.00	-0.002
363.00	0.003
364.00	0.006
365.00	-0.006
366.00	-0.005
367.00	-0.002
368.00	-0.006
369.00	0.005
370.00	-0.008
371.00	0.002
372.00	0.009
373.00	0.006
374.00	0.000
375.00	0.002
376.00	0.006
377.00	0.003
378.00	-0.006
379.00	-0.004
380.00	0.014
381.00	0.011
382.00	-0.003
383.00	0.004
384.00	0.003
385.00	-0.008
386.00	0.003
387.00	0.008
388.00	-0.003
389.00	0.015
390.00	0.001
391.00	-0.004
392.00	0.002
393.00	-0.001
394.00	0.003
395.00	0.009
396.00	-0.004
397.00	0.013
398.00	0.002
399.00	-0.006
400.00	0.005
401.00	0.009
402.00	0.008
403.00	0.000
404.00	-0.008
405.00	0.005
406.00	0.000
407.00	0.000
408.00	0.004
409.00	-0.005
410.00	0.002
411.00	-0.009
412.00	-0.003
413.00	0.003
414.00	-0.007
415.00	-0.002
416.00	-0.011
417.00	0.001
418.00	0.001
419.00	0.002
420.00	-0.002
421.00	0.001
422.00	-0.002
423.00	0.000
424.00	-0.010
425.00	-0.007
426.00	0.008
427.00	-0.004
428.00	-0.001
429.00	-0.002
430.00	0.002
431.00	0.000
432.00	-0.002
433.00	-0.004
434.00	-0.010
435.00	-0.001
436.00	-0.004
437.00	-0.005
