Batch	scan006
EV300 164202	100%T Baseline Correction
30-1 Cycle01	2025/10/23 06:03:51¤U¤È
nm	A
300.00	0.092
301.00	0.090
302.00	0.082
303.00	0.081
304.00	0.065
305.00	0.066
306.00	0.065
307.00	0.058
308.00	0.058
309.00	0.038
310.00	0.034
311.00	0.041
312.00	0.019
313.00	0.029
314.00	0.029
315.00	0.027
316.00	0.035
317.00	0.036
318.00	0.027
319.00	0.034
320.00	0.034
321.00	0.024
322.00	0.022
323.00	0.024
324.00	0.020
325.00	0.019
326.00	0.023
327.00	0.018
328.00	0.024
329.00	0.002
330.00	0.025
331.00	0.015
332.00	0.010
333.00	0.016
334.00	-0.002
335.00	0.003
336.00	-0.003
337.00	0.007
338.00	-0.004
339.00	0.001
340.00	0.008
341.00	0.005
342.00	0.007
343.00	-0.005
344.00	0.000
345.00	-0.002
346.00	-0.008
347.00	0.000
348.00	0.003
349.00	0.003
350.00	-0.006
351.00	-0.005
352.00	-0.002
353.00	-0.012
354.00	-0.005
355.00	-0.001
356.00	0.000
357.00	0.002
358.00	-0.002
359.00	-0.005
360.00	-0.006
361.00	-0.018
362.00	-0.006
363.00	-0.008
364.00	-0.005
365.00	-0.008
366.00	-0.007
367.00	-0.011
368.00	-0.007
369.00	0.002
370.00	-0.006
371.00	-0.010
372.00	-0.007
373.00	0.000
374.00	-0.005
375.00	-0.012
376.00	-0.006
377.00	-0.005
378.00	-0.005
379.00	-0.009
380.00	0.001
381.00	-0.009
382.00	-0.008
383.00	-0.010
384.00	-0.008
385.00	-0.012
386.00	-0.014
387.00	-0.011
388.00	-0.013
389.00	-0.013
390.00	-0.016
391.00	-0.003
392.00	-0.004
393.00	-0.010
394.00	-0.007
395.00	-0.003
396.00	-0.007
397.00	0.001
398.00	-0.010
399.00	-0.010
400.00	-0.011
401.00	-0.005
402.00	-0.010
403.00	-0.011
404.00	-0.015
405.00	-0.006
406.00	-0.002
407.00	-0.009
408.00	-0.012
409.00	-0.015
410.00	-0.012
411.00	-0.019
412.00	-0.015
413.00	-0.015
414.00	-0.016
415.00	-0.014
416.00	-0.008
417.00	-0.013
418.00	-0.016
419.00	-0.004
420.00	-0.018
421.00	-0.010
422.00	-0.010
423.00	-0.017
424.00	-0.019
425.00	-0.018
426.00	-0.011
427.00	-0.025
428.00	-0.017
429.00	-0.015
430.00	-0.015
431.00	-0.014
432.00	-0.013
433.00	-0.015
434.00	-0.017
435.00	-0.013
436.00	-0.009
437.00	-0.015
438.00	-0.011
439.00	-0.015
440.00	-0.015
441.00	-0.013
442.00	-0.006
443.00	-0.009
444.00	-0.005
445.00	-0.019
446.00	-0.005
447.00	-0.011
448.00	-0.006
449.00	-0.007
450.00	-0.005
451.00	-0.017
452.00	-0.018
453.00	-0.015
454.00	-0.008
455.00	-0.013
456.00	-0.009
457.00	-0.012
458.00	-0.007
459.00	-0.005
460.00	-0.005
461.00	-0.013
462.00	-0.001
463.00	-0.012
464.00	-0.010
465.00	-0.012
466.00	-0.004
467.00	-0.004
468.00	-0.004
469.00	-0.003
470.00	-0.004
471.00	-0.019
472.00	-0.012
473.00	-0.010
474.00	-0.009
475.00	-0.004
476.00	-0.010
477.00	-0.008
478.00	-0.007
479.00	-0.007
480.00	-0.009
481.00	-0.007
482.00	-0.005
483.00	-0.016
484.00	-0.008
485.00	0.000
486.00	-0.004
487.00	-0.001
488.00	-0.012
489.00	0.000
490.00	-0.007
491.00	-0.008
492.00	-0.002
493.00	-0.010
494.00	-0.001
495.00	-0.004
496.00	0.002
497.00	-0.006
498.00	0.003
499.00	-0.004
500.00	-0.005
501.00	0.005
502.00	-0.004
503.00	-0.008
504.00	-0.005
505.00	-0.005
506.00	-0.002
507.00	-0.002
508.00	0.000
509.00	0.002
510.00	-0.002
511.00	-0.004
512.00	0.001
513.00	0.004
514.00	-0.003
515.00	-0.003
516.00	-0.008
517.00	-0.002
518.00	-0.002
519.00	0.000
520.00	0.001
521.00	-0.001
522.00	0.000
523.00	-0.001
524.00	-0.005
525.00	-0.001
526.00	-0.003
527.00	0.001
528.00	0.004
529.00	0.002
530.00	-0.006
531.00	0.003
532.00	0.001
533.00	0.000
534.00	0.000
535.00	-0.004
536.00	0.005
537.00	0.002
538.00	0.006
539.00	0.001
540.00	0.000
541.00	0.001
542.00	0.002
543.00	0.005
544.00	0.001
545.00	0.005
546.00	0.006
547.00	0.007
548.00	0.008
549.00	0.009
550.00	0.009
551.00	0.011
552.00	0.013
553.00	0.009
554.00	0.012
555.00	0.009
556.00	0.014
557.00	0.011
558.00	0.013
559.00	0.015
560.00	0.019
561.00	0.018
562.00	0.017
563.00	0.019
564.00	0.016
565.00	0.019
566.00	0.022
567.00	0.019
568.00	0.023
569.00	0.022
570.00	0.022
571.00	0.025
572.00	0.026
573.00	0.026
574.00	0.029
575.00	0.027
576.00	0.029
577.00	0.035
578.00	0.037
579.00	0.033
580.00	0.038
581.00	0.041
582.00	0.037
583.00	0.044
584.00	0.045
585.00	0.049
586.00	0.048
587.00	0.052
588.00	0.051
589.00	0.050
590.00	0.054
591.00	0.056
592.00	0.062
593.00	0.065
594.00	0.064
595.00	0.067
596.00	0.064
597.00	0.067
598.00	0.071
599.00	0.077
600.00	0.076
601.00	0.080
602.00	0.081
603.00	0.083
604.00	0.083
605.00	0.084
606.00	0.088
607.00	0.087
608.00	0.092
609.00	0.093
610.00	0.091
611.00	0.096
612.00	0.095
613.00	0.094
614.00	0.100
615.00	0.098
616.00	0.098
617.00	0.101
618.00	0.104
619.00	0.099
620.00	0.102
621.00	0.105
622.00	0.104
623.00	0.107
624.00	0.108
625.00	0.107
626.00	0.109
627.00	0.111
628.00	0.110
629.00	0.111
630.00	0.113
631.00	0.120
632.00	0.117
633.00	0.120
634.00	0.122
635.00	0.125
636.00	0.123
637.00	0.129
638.00	0.130
639.00	0.131
640.00	0.136
641.00	0.141
642.00	0.144
643.00	0.147
644.00	0.148
645.00	0.153
646.00	0.153
647.00	0.156
648.00	0.159
649.00	0.163
650.00	0.162
651.00	0.169
652.00	0.171
653.00	0.170
654.00	0.172
655.00	0.175
656.00	0.180
657.00	0.178
658.00	0.181
659.00	0.182
660.00	0.184
661.00	0.183
662.00	0.184
663.00	0.184
664.00	0.184
665.00	0.182
666.00	0.180
667.00	0.179
668.00	0.176
669.00	0.174
670.00	0.168
671.00	0.164
672.00	0.159
673.00	0.152
674.00	0.144
675.00	0.142
676.00	0.131
677.00	0.121
678.00	0.118
679.00	0.106
680.00	0.097
681.00	0.090
682.00	0.083
683.00	0.076
684.00	0.068
685.00	0.064
686.00	0.054
687.00	0.052
688.00	0.044
689.00	0.039
690.00	0.033
691.00	0.031
692.00	0.025
693.00	0.020
694.00	0.019
695.00	0.018
696.00	0.016
697.00	0.009
698.00	0.008
699.00	0.007
700.00	0.003
701.00	0.004
702.00	0.002
703.00	0.001
704.00	0.002
705.00	0.000
706.00	-0.001
707.00	0.000
708.00	-0.004
709.00	-0.004
710.00	-0.003
711.00	-0.002
712.00	-0.002
713.00	-0.005
714.00	-0.007
715.00	-0.004
716.00	-0.004
717.00	-0.005
718.00	-0.006
719.00	-0.007
720.00	-0.006
721.00	-0.006
722.00	-0.008
723.00	-0.007
724.00	-0.004
725.00	-0.007
726.00	-0.005
727.00	-0.007
728.00	-0.005
729.00	-0.005
730.00	-0.005
731.00	-0.006
732.00	-0.005
733.00	-0.005
734.00	-0.005
735.00	-0.006
736.00	-0.005
737.00	-0.006
738.00	-0.006
739.00	-0.005
740.00	-0.005
741.00	-0.005
742.00	-0.005
743.00	-0.003
744.00	-0.003
745.00	-0.004
746.00	-0.003
747.00	-0.005
748.00	-0.004
749.00	-0.003
750.00	-0.004
751.00	-0.003
752.00	-0.003
753.00	-0.004
754.00	-0.005
755.00	-0.005
756.00	-0.005
757.00	-0.005
758.00	-0.003
759.00	-0.003
760.00	-0.004
761.00	-0.002
762.00	-0.002
763.00	-0.002
764.00	-0.002
765.00	-0.002
766.00	-0.003
767.00	-0.002
768.00	-0.003
769.00	-0.002
770.00	-0.003
771.00	-0.002
772.00	-0.005
773.00	-0.004
774.00	-0.002
775.00	-0.001
776.00	-0.003
777.00	-0.003
778.00	-0.002
779.00	-0.003
780.00	-0.005
781.00	-0.002
782.00	-0.003
783.00	-0.001
784.00	-0.002
785.00	-0.002
786.00	-0.002
787.00	-0.003
788.00	-0.002
789.00	-0.002
790.00	-0.001
791.00	-0.003
792.00	-0.002
793.00	-0.002
794.00	-0.002
795.00	-0.002
796.00	0.000
797.00	0.000
798.00	-0.002
799.00	-0.003
800.00	-0.001
